FIPS,NAME,YEAR,FAVAL,LEVEL
9000,CONNECTICUT,1850,31,2
9000,CONNECTICUT,1860,36,2
9000,CONNECTICUT,1870,42,2
9000,CONNECTICUT,1880,49,2
9000,CONNECTICUT,1890,42,2
9000,CONNECTICUT,1900,42,2
9000,CONNECTICUT,1910,63,2
9000,CONNECTICUT,1920,100,2
9000,CONNECTICUT,1925,110,2
9000,CONNECTICUT,1930,151,2
9000,CONNECTICUT,1935,136,2
9000,CONNECTICUT,1940,135,2
9000,CONNECTICUT,1945,165,2
9000,CONNECTICUT,1950,248,2
9000,CONNECTICUT,1954,289,2
9000,CONNECTICUT,1959,430,2
9001,FAIRFIELD,1850,49,1
9001,FAIRFIELD,1860,53,1
9001,FAIRFIELD,1870,91,1
9001,FAIRFIELD,1880,85,1
9001,FAIRFIELD,1890,83,1
9001,FAIRFIELD,1900,82,1
9001,FAIRFIELD,1910,148,1
9001,FAIRFIELD,1920,226,1
9001,FAIRFIELD,1925,232,1
9001,FAIRFIELD,1930,473,1
9001,FAIRFIELD,1935,396,1
9001,FAIRFIELD,1940,448,1
9001,FAIRFIELD,1945,576,1
9001,FAIRFIELD,1950,720,1
9001,FAIRFIELD,1954,670,1
9001,FAIRFIELD,1959,1035,1
9003,HARTFORD,1850,37,1
9003,HARTFORD,1860,52,1
9003,HARTFORD,1870,76,1
9003,HARTFORD,1880,71,1
9003,HARTFORD,1890,57,1
9003,HARTFORD,1900,63,1
9003,HARTFORD,1910,94,1
9003,HARTFORD,1920,179,1
9003,HARTFORD,1925,194,1
9003,HARTFORD,1930,220,1
9003,HARTFORD,1935,179,1
9003,HARTFORD,1940,177,1
9003,HARTFORD,1945,219,1
9003,HARTFORD,1950,392,1
9003,HARTFORD,1954,461,1
9003,HARTFORD,1959,803,1
9005,LITCHFIELD,1850,27,1
9005,LITCHFIELD,1860,31,1
9005,LITCHFIELD,1870,43,1
9005,LITCHFIELD,1880,37,1
9005,LITCHFIELD,1890,30,1
9005,LITCHFIELD,1900,28,1
9005,LITCHFIELD,1910,42,1
9005,LITCHFIELD,1920,57,1
9005,LITCHFIELD,1925,66,1
9005,LITCHFIELD,1930,93,1
9005,LITCHFIELD,1935,90,1
9005,LITCHFIELD,1940,99,1
9005,LITCHFIELD,1945,111,1
9005,LITCHFIELD,1950,168,1
9005,LITCHFIELD,1954,213,1
9005,LITCHFIELD,1959,251,1
9007,MIDDLESEX,1850,28,1
9007,MIDDLESEX,1860,29,1
9007,MIDDLESEX,1870,43,1
9007,MIDDLESEX,1880,43,1
9007,MIDDLESEX,1890,37,1
9007,MIDDLESEX,1900,34,1
9007,MIDDLESEX,1910,45,1
9007,MIDDLESEX,1920,69,1
9007,MIDDLESEX,1925,86,1
