"","X","X1989","X1979","X1969","X1959","Distance","Ddummy"
"1",214,17547,14305,11651,9159,40,1
"7",220,20748,16457,12479,9041,53,1
"19",232,16149,13913,12161,9896,351,0
"21",234,28381,20664,15088,11062,76,1
"28",241,17640,14035,10298,7628,97,1
"30",243,19890,16031,12186,8896,385,0
"37",250,16220,13338,10641,8594,469,0
"38",251,19695,15525,13319,10634,39,1
"41",254,22430,17873,14332,11195,39,1
"43",256,20423,15949,12095,9143,11,1
"48",261,14833,12412,9728,7526,89,1
"49",262,17239,13551,9684,7405,130,1
