"","X","X1989","X1979","X1969","X1959","Distance","Ddummy"
"2",215,13799,12851,10295,5721,198,1
"3",216,14282,11710,9486,6879,119,1
"4",217,12083,11240,8699,7185,116,1
"5",218,13497,11984,9684,7562,115,1
"6",219,12402,12199,10115,7860,150,1
"8",221,10625,10535,8891,7738,421,0
"9",222,15703,13352,10266,9002,198,1
"10",223,11824,11674,8683,7071,198,1
"11",224,10677,10949,8756,6745,189,1
"12",225,12436,11545,9476,8048,340,0
"13",226,9208,9677,7739,6369,551,0
"14",227,13397,11708,10814,7436,435,0
"15",228,12154,11713,8875,7334,265,0
"16",229,10035,9791,7396,6086,180,1
"17",230,11705,10543,8724,7389,180,1
"18",231,12626,10734,9130,7420,341,0
"20",233,10856,10659,7736,6102,169,1
"22",235,13074,11187,8872,7507,158,1
"23",236,12776,11410,9139,6969,209,0
"24",237,10606,10501,7862,6200,111,1
"25",238,10971,10997,9023,7777,385,0
"26",239,16120,14394,10439,10053,309,0
"27",240,14578,12559,9873,7805,104,1
"29",242,15760,12541,9542,7581,117,1
"31",244,17311,13685,9892,7287,179,1
"32",245,12952,11490,10512,7621,273,0
"33",246,14510,12529,9703,7593,405,0
"34",247,15265,13322,10672,8849,113,1
"35",248,13933,10403,8756,6965,95,1
"36",249,13358,11881,9448,7303,356,0
"39",252,12705,11757,9624,7279,78,1
"40",253,15237,11810,9017,7330,201,1
"42",255,17155,14076,10565,9382,289,0
"44",257,17347,13736,10011,7903,33,1
"45",258,12381,11380,9281,7648,283,0
"46",259,13731,11931,10332,7334,238,0
"47",260,11610,10951,9221,7440,348,0
"50",263,12731,11887,9190,6655,88,1
"51",264,12763,11911,9602,7440,139,1
"52",265,10990,10284,8910,6910,213,0
"53",266,10781,10548,8982,7895,298,0
"54",267,10302,10118,7840,6310,238,0
"55",268,13224,11302,9558,7770,158,1
"56",269,17861,13431,10216,7793,158,1
"57",270,13861,12194,9410,7672,117,1
"58",271,9874,9282,7456,6459,169,1
"59",NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA
