Year,County,Income,Distance ,Ddummy
1959,"Alameda County, CA","9,159",40,1
1959,"Alpine County, CA","5,721",198,1
1959,"Amador County, CA","6,879",119,1
1959,"Butte County, CA","7,185",116,1
1959,"Calaveras County, CA","7,562",115,1
1959,"Colusa County, CA","7,860",150,1
1959,"Contra Costa County, CA","9,041",53,1
1959,"Del Norte County, CA","7,738",421,0
1959,"El Dorado County, CA","9,002",198,1
1959,"Fresno County, CA","7,071",198,1
1959,"Glenn County, CA","6,745",189,1
1959,"Humboldt County, CA","8,048",340,0
1959,"Imperial County, CA","6,369",551,0
1959,"Inyo County, CA","7,436",435,0
1959,"Kern County, CA","7,334",265,0
1959,"Kings County, CA","6,086",180,1
1959,"Lake County, CA","7,389",180,1
1959,"Lassen County, CA","7,420",341,0
1959,"Los Angeles County, CA","9,896",351,0
1959,"Madera County, CA","6,102",169,1
1959,"Marin County, CA","11,062",76,1
1959,"Mariposa County, CA","7,507",158,1
1959,"Mendocino County, CA","6,969",209,0
1959,"Merced County, CA","6,200",111,1
1959,"Modoc County, CA","7,777",385,0
1959,"Mono County, CA","10,053",309,0
1959,"Monterey County, CA","7,805",104,1
1959,"Napa County, CA","7,628",97,1
1959,"Nevada County, CA","7,581",117,1
1959,"Orange County, CA","8,896",385,0
1959,"Placer County, CA","7,287",179,1
1959,"Plumas County, CA","7,621",273,0
1959,"Riverside County, CA","7,593",405,0
1959,"Sacramento County, CA","8,849",113,1
1959,"San Benito County, CA","6,965",95,1
1959,"San Bernardino County, CA","7,303",356,0
1959,"San Diego County, CA","8,594",469,0
1959,"San Francisco County, CA","10,634",39,1
1959,"San Joaquin County, CA","7,279",78,1
1959,"San Luis Obispo County, CA","7,330",201,1
1959,"San Mateo County, CA","11,195",39,1
1959,"Santa Barbara County, CA","9,382",289,0
1959,"Santa Clara County, CA","9,143",11,1
1959,"Santa Cruz County, CA","7,903",33,1
1959,"Shasta County, CA","7,648",283,0
1959,"Sierra County, CA","7,334",238,0
1959,"Siskiyou County, CA","7,440",348,0
1959,"Solano County, CA","7,526",89,1
1959,"Sonoma County, CA","7,405",130,1
1959,"Stanislaus County, CA","6,655",88,1
1959,"Sutter County, CA","7,440",139,1
1959,"Tehama County, CA","6,910",213,0
1959,"Trinity County, CA","7,895",298,0
1959,"Tulare County, CA","6,310",238,0
1959,"Tuolumne County, CA","7,770",158,1
1959,"Ventura County, CA","7,793",158,1
1959,"Yolo County, CA","7,672",117,1
1959,"Yuba County, CA","6,459",169,1
