State and County,1989,1979,1969,1959
Alabama,"$11,486.00","$9,876.00","$7,292.00","$4,889.00"
"Autauga County, AL","11,182","9,675","6,656","3,693"
"Baldwin County, AL","12,275","9,987","7,084","4,579"
"Barbour County, AL","9,515","7,614","5,640","3,155"
"Bibb County, AL","8,973","8,142","5,325","3,194"
"Blount County, AL","10,168","8,735","6,206","3,791"
"Bullock County, AL","6,922","6,637","4,148","2,613"
"Butler County, AL","7,903","7,698","5,416","3,186"
"Calhoun County, AL","10,704","9,377","7,283","5,278"
"Chambers County, AL","10,000","8,665","6,644","4,595"
"Cherokee County, AL","9,915","9,109","6,090","3,759"
"Chilton County, AL","9,826","8,635","6,030","3,610"
"Choctaw County, AL","9,622","7,804","5,205","3,045"
"Clarke County, AL","9,031","8,447","5,772","3,465"
"Clay County, AL","9,533","7,673","5,687","3,508"
"Cleburne County, AL","9,876","8,400","5,986","3,410"
"Coffee County, AL","11,286","9,550","7,125","3,991"
"Colbert County, AL","11,425","10,483","7,267","5,270"
"Conecuh County, AL","7,953","7,547","5,108","2,853"
"Coosa County, AL","9,234","8,231","5,992","3,328"
"Covington County, AL","9,315","8,690","6,254","4,195"
"Crenshaw County, AL","8,848","7,271","5,146","2,715"
"Cullman County, AL","10,447","9,122","6,326","3,579"
"Dale County, AL","10,580","8,903","7,626","4,583"
"Dallas County, AL","8,344","7,799","5,879","3,814"
"DeKalb County, AL","9,604","8,871","5,640","3,465"
"Elmore County, AL","10,677","9,622","6,414","3,979"
"Escambia County, AL","8,858","8,435","5,977","4,132"
"Etowah County, AL","10,997","10,230","7,588","5,207"
"Fayette County, AL","9,864","8,881","5,945","3,610"
"Franklin County, AL","9,049","9,139","6,291","3,645"
"Geneva County, AL","9,768","9,359","6,184","3,347"
"Greene County, AL","6,306","5,918","3,858","2,060"
"Hale County, AL","8,164","6,259","4,003","2,268"
"Henry County, AL","9,909","8,177","5,234","2,696"
"Houston County, AL","12,118","10,212","7,531","4,583"
"Jackson County, AL","10,144","9,136","6,338","3,630"
"Jefferson County, AL","13,277","11,847","8,878","6,463"
"Lamar County, AL","9,945","8,543","5,401","3,771"
"Lauderdale County, AL","11,685","10,528","7,525","5,388"
"Lawrence County, AL","9,800","8,050","5,615","2,982"
"Lee County, AL","11,409","9,447","7,239","4,776"
"Limestone County, AL","11,696","9,349","6,716","3,865"
"Lowndes County, AL","6,848","5,560","3,701","1,989"
"Macon County, AL","7,534","6,780","5,309","3,351"
"Madison County, AL","15,443","11,814","9,857","6,435"
"Marengo County, AL","9,242","7,941","5,155","3,163"
"Marion County, AL","9,645","8,653","6,156","3,418"
"Marshall County, AL","10,793","9,114","6,855","4,521"
"Mobile County, AL","11,158","10,133","7,560","5,823"
"Monroe County, AL","9,299","8,233","5,347","2,978"
"Montgomery County, AL","12,806","11,024","8,387","6,106"
"Morgan County, AL","12,830","10,595","8,022","5,396"
"Perry County, AL","6,879","5,969","4,529","2,307"
"Pickens County, AL","8,564","7,458","5,177","3,273"
"Pike County, AL","9,423","7,546","5,951","3,222"
"Randolph County, AL","9,092","7,309","5,999","3,665"
"Russell County, AL","9,675","8,097","5,791","3,681"
"St. Clair County, AL","10,596","9,412","6,200","3,767"
"Shelby County, AL","16,237","11,547","6,902","4,246"
"Sumter County, AL","8,031","7,344","4,683","2,296"
"Talladega County, AL","9,700","8,347","6,515","4,297"
"Tallapoosa County, AL","10,878","8,900","6,458","4,548"
"Tuscaloosa County, AL","11,406","9,525","7,081","4,929"
"Walker County, AL","10,105","9,256","6,304","4,199"
"Washington County, AL","8,340","7,671","4,872","3,347"
"Wilcox County, AL","6,552","6,073","3,906","2,131"
"Winston County, AL","9,349","8,745","6,688","3,983"
,,,,
Alaska,"$17,610.00","$17,080.00","$11,723.00","$8,864.00"
"Aleutian Islands Census Area, AK",(NA),"17,662","10,439","7,754"
"Aleutians East Borough, AK","17,242","23,198",(NA),(NA)
"Aleutians West Census Area, AK","15,035","16,199",(NA),(NA)
"Anchorage Borough, AK","19,620","19,000","13,193","10,226"
"Angoon Census Area, AK",(NA),(NA),"1,624",(NA)
"Barrow Census Area, AK",(NA),(NA),(NA),"8,849"
"Barrow-North Slope Census Area, AK",(NA),(NA),"8,841",(NA)
"Bethel Census Area, AK","8,833","8,239","4,205","3,147"
"Bristol Bay Borough, AK","19,123","25,048","11,459",(NA)
"Bristol Bay Census Area, AK",(NA),(NA),"5,152","7,048"
"Cordova-McCarthy Census Area, AK",(NA),(NA),"12,815","8,649"
"Dillingham Census Area, AK","12,782","12,504",(NA),(NA)
"Fairbanks-North Star Borough, AK","15,914","16,460","13,234",(NA)
"Fairbanks Census Area, AK",(NA),(NA),"12,532","9,261"
"Haines Borough, AK","16,204","14,087","11,538",(NA)
"Haines Census Area, AK",(NA),(NA),"11,525",(NA)
"Juneau Borough, AK","19,920","20,814","14,748","11,497"
"Kenai Peninsula Borough, AK","18,173","16,147",(NA),(NA)
"Kenai-Cook Inlet Census Area, AK",(NA),(NA),"11,978","6,844"
"Ketchikan Census Area, AK",(NA),(NA),"11,708","9,100"
"Ketchikan Gateway Borough, AK","18,789","18,146",(NA),(NA)
"Kobuk Census Area, AK",(NA),"8,665","4,844","2,649"
"Kodiak Island Borough, AK","19,979","17,452","11,346",(NA)
"Kodiak Census Area, AK",(NA),(NA),"10,562","8,013"
"Kuskokwim Census Area, AK",(NA),(NA),"5,256","5,502"
"Lake And Peninsula Borough, AK","11,560","12,180",(NA),(NA)
"Lynn Canal-Icy Straits Census Area, AK",(NA),(NA),(NA),"7,373"
"Matanuska-Susitna Borough, AK","15,898","14,548","9,108",(NA)
"Nome Census Area, AK","10,701","9,210","6,269","4,795"
"North Slope Borough, AK","18,231","18,442",(NA),(NA)
"Northwest Artic Borough, AK","10,040","8,665",(NA),(NA)
"Outer Ketchikan Census Area, AK",(NA),(NA),"8,334",(NA)
"Palmer-Wasilla-Talkeetna Census Area, AK",(NA),(NA),(NA),"7,958"
"Prince of Wales Census Area, AK",(NA),(NA),"12,765","9,147"
Prince of Wales-Outer,,,,
"Ketchikan Census Area, AK","15,510","13,953",(NA),(NA)
"Seward Census Area, AK",(NA),(NA),"11,040","10,089"
"Sitka Borough, AK","16,962","18,003","12,271","9,159"
"Skagway-Yakutat Census Area, AK",(NA),(NA),"10,509",(NA)
"Skagway-Yakutat-Angoon Census Area, AK","15,463","13,705",(NA),(NA)
"Southeast Fairbanks Census Area, AK","12,505","11,312","10,228",(NA)
"Upper Yukon Census Area, AK",(NA),(NA),"6,043","6,514"
"Valdez-Chittina-Whittier Census Area, AK",(NA),(NA),"12,768","8,299"
"Valdez-Cordova Census Area, AK","22,772","19,502",(NA),(NA)
"Wade Hampton Census Area, AK","6,519","5,367","3,364","1,664"
"Wrangell-Petersburg Census Area, AK","19,012","16,903","10,625","7,593"
"Yukon-Koyukuk Census Area, AK","11,554","11,959","10,603","9,276"
,,,,
Arizona,"$13,461.00","$11,800.00","$9,243.00","$6,922.00"
"Apache County, AZ","5,399","5,593","4,035","2,967"
"Cochise County, AZ","10,716","9,615","8,066","6,165"
"Coconino County, AZ","10,580","9,436","7,569","5,796"
"Gila County, AZ","10,297","9,235","7,358","5,670"
"Graham County, AZ","8,955","7,747","6,039","5,341"
"Greenlee County, AZ","9,794","11,004","9,099","5,745"
"La Paz County, AZ","9,240","8,484",(NA),(NA)
"Maricopa County, AZ","14,970","12,931","10,121","7,534"
"Mohave County, AZ","11,933","11,182","9,627","6,628"
"Navajo County, AZ","7,586","7,515","5,253","4,203"
"Pima County, AZ","13,177","11,976","9,385","7,405"
"Pinal County, AZ","9,228","8,903","6,962","5,011"
"Santa Cruz County, AZ","9,007","9,127","7,314","6,098"
"Yavapai County, AZ","12,657","10,808","8,161","6,985"
"Yuma County, AZ","10,428","9,689","8,139","6,428"
,,,,
Arkansas,"$10,520.00","$9,407.00","$6,741.00","$4,415.00"
"Arkansas County, AR","11,169","10,145","6,896","4,705"
"Ashley County, AR","9,696","8,719","6,266","4,320"
"Baxter County, AR","10,648","9,583","6,877","4,458"
"Benton County, AR","12,274","10,222","7,179","4,681"
"Boone County, AR","10,129","9,106","7,050","4,395"
"Bradley County, AR","8,824","7,646","5,586","3,736"
"Calhoun County, AR","9,464","7,133","5,130","3,273"
"Carroll County, AR","10,176","8,777","6,757","3,755"
"Chicot County, AR","7,452","6,855","4,702","3,092"
